locktype,numThreads,Throughput,ElapsedTime(s)
FilterLock,1,115974795.20,0.000107
FilterLock,2,21982135.12,0.001054
FilterLock,3,6684738.23,0.005988
FilterLock,4,3115474.61,0.013076
FilterLock,5,2245318.24,0.022276
FilterLock,6,1741171.39,0.034479
FilterLock,7,1314097.74,0.053638
FilterLock,8,1024011.76,0.078748
FilterLock,9,916647.39,0.098745
FilterLock,10,809705.75,0.123889
FilterLockWithGPL,1,132800225.07,0.000090
FilterLockWithGPL,2,25014612.17,0.000925
FilterLockWithGPL,3,6377542.73,0.005910
FilterLockWithGPL,4,3048329.84,0.013497
FilterLockWithGPL,5,2661836.70,0.018803
FilterLockWithGPL,6,2077296.56,0.028945
FilterLockWithGPL,7,1730102.10,0.040504
FilterLockWithGPL,8,1449575.02,0.055371
FilterLockWithGPL,9,1340013.43,0.067536
FilterLockWithGPL,10,1131869.98,0.089701
BakeryLock,1,82261680.25,0.000130
BakeryLock,2,14054959.78,0.001604
BakeryLock,3,6195471.89,0.005636
BakeryLock,4,3851004.09,0.010635
BakeryLock,5,3613620.61,0.014080
BakeryLock,6,3587419.61,0.016968
BakeryLock,7,2753635.52,0.025785
BakeryLock,8,2226624.09,0.036986
BakeryLock,9,1948485.57,0.047647
BakeryLock,10,1375008.62,0.077983
TournamentTree,1,81318559.55,0.000127
TournamentTree,2,16941609.83,0.001268
TournamentTree,3,7611733.65,0.005003
TournamentTree,4,3714740.62,0.010841
TournamentTree,5,3142658.96,0.016137
TournamentTree,6,3489649.35,0.017871
TournamentTree,7,3333324.86,0.021026
TournamentTree,8,3021282.89,0.026707
TournamentTree,9,2730610.85,0.033156
TournamentTree,10,2416835.92,0.041639
